query,library,term,p_value,adj_p_value,n_genes,genes
UBR3wt (50),WikiPathway_2023_Human,FBXL10 Enhancement Of MAP ERK Signaling In Diffuse Large B Cell Lymphoma WP4553,0.003077847146316263,0.045532803442521516,2,H3C1;MACROH2A1
UBR3wt (50),WikiPathway_2023_Human,22Q11 2 Copy Number Variation Syndrome WP4657,0.0032065354536986983,0.045532803442521516,3,UFD1;H4C1;TNPO1
UBR3wt (50),WikiPathway_2023_Human,Envelope Proteins And Their Potential Roles In EDMD Physiopathology WP4535,0.0059097422436154325,0.06993194988278262,2,BANF1;TMPO
union (82),ChEA_2022,E2F1 26619117 ChIP-Seq Hepatocytes Mouse Liver,6.580619469837902e-13,4.586691770477018e-10,38,OTUD4;KHDRBS1;BLM;GTF3C5;NDUFB10;CSTF2T;AAAS;N4BP2L2;BAG6;SART1;CDC23;CDC45;AP1G2;BANF1;UBAP2L;CCHCR1;POLE;RBM6;CEP78;TLE4;FANCI;SDF2L1;TBCD;TSC2;THOC3;HAUS5;FANCB;TDRD3;FTSJ3;TNRC6C;HOOK1;PSPC1;FRG1;STT3A;EIF3G;UBAP2;RNPS1;TELO2
union (82),ChEA_2022,KDM5B 21448134 ChIP-Seq MESCs Mouse,8.008418935512145e-09,2.7909339990259823e-06,34,OTUD4;KHDRBS1;BLM;COL14A1;NCAPG2;UBR3;N4BP2L2;GIGYF2;RPTOR;RAI1;CDC23;CDC45;AP1G2;UBAP2L;KNTC1;TNPO1;POLE;TMPO;CEP78;TLE4;FANCI;SMARCA5;TBCD;TET1;THOC3;FTSJ3;TNRC6C;POLR3A;HOOK1;PSPC1;FRG1;STT3A;UBAP2;RNPS1
union (82),ChEA_2022,JUN 27471255 ChIP-Seq Chondrocytes Mouse Rib,5.0258654157567705e-08,1.1676760649274897e-05,39,BLM;NDUFB10;MPG;BRAT1;UBR3;AAAS;MACROH2A1;N4BP2L2;LARP1B;RPTOR;RAI1;BAG2;H3C1;UFD1;BANF1;UBAP2L;KNTC1;TNPO1;POLE;RBM6;CEP78;FANCI;NCOA2;SDF2L1;SMARCA5;TBCD;THOC3;HAUS5;SMARCA1;TNRC6C;BCL9;PSPC1;FRG1;STT3A;UBAP2;PPIL3;DCP1A;TELO2;TNRC6B
union (82),ChEA_2022,YY1 33199912 ChIP-Seq 293T Human KidneyEmbryo,6.534995735342198e-07,0.00011387230068833779,34,KHDRBS1;NDUFB10;UBR3;CSTF2T;MACROH2A1;N4BP2L2;GIGYF2;LARP1B;RPTOR;SART1;CDC23;H3C1;MVB12A;UFD1;TNPO1;TMPO;RBM6;CEP78;FANCI;PLEKHG4;TBCD;THOC3;HAUS5;FANCB;ISL1;ELP6;FTSJ3;GCFC2;HOOK1;PSPC1;EIF3G;DCP1A;LRCH3;TNRC6B
union (82),ChEA_2022,ENL 26711339 ChIP-Seq SEM Human Blood Leukemia,9.609661220682976e-06,0.0013395867741632069,19,TLE4;OTUD4;KHDRBS1;BLM;GTF3C5;CHD7;SMARCA5;TBCD;TDRD3;GPHN;BAG2;PSPC1;KNTC1;PPIL3;TNPO1;LRCH3;TNRC6B;TMPO;CEP78
union (82),ChEA_2022,NELFA 20434984 ChIP-Seq ESCs Mouse,1.9253820527601336e-05,0.0022366521512896887,18,TLE4;OTUD4;KHDRBS1;SDF2L1;MPG;SMARCA5;TSC2;AAAS;TNRC6C;SART1;CDC23;PSPC1;UBAP2;RNPS1;DCP1A;LRCH3;RBM6;CEP78
union (82),ChEA_2022,HNF1A 27111144 ChIP-Seq CD8+TCells Mouse Blood Lymphoma,2.453642756341571e-05,0.002420809258419256,28,KHDRBS1;GTF3C5;CHD7;UBR3;N4BP2L2;H2AC18;RPTOR;RAI1;SART1;CDC45;MVB12A;BANF1;TNPO1;TMPO;RBM6;TLE4;NCOA2;SDF2L1;SMARCA5;TDRD3;TNRC6C;POLR3A;STT3A;EIF3G;UBAP2;RNPS1;MAGED2;TNRC6B
