query,library,term,p_value,adj_p_value,combined_score,n_genes,genes
UBR3wt (50),CORUM,Sam68-p120GAP complex (human),0.004993807445783005,0.01904395149596871,2157.6,1,KHDRBS1
UBR3wt (50),CORUM,CSK-GAP-A.p62 complex (mouse),0.004993807445783005,0.01904395149596871,2157.6,1,KHDRBS1
UBR3wt (50),CORUM,BLM-TOP3A complex (human),0.004993807445783005,0.01904395149596871,2157.6,1,BLM
UBR3wt (50),CORUM,WICH complex (human),0.004993807445783005,0.01904395149596871,2157.6,1,SMARCA5
UBR3wt (50),CORUM,Isl1-Jak1-Stat3 complex (mouse),0.007481552373416279,0.01904395149596871,996.4,1,ISL1
UBR3wt (50),CORUM,MR-UBC9-SRC1 complex (human),0.007481552373416279,0.01904395149596871,996.4,1,NCOA1
UBR3wt (50),CORUM,"EIF3 complex (EIF3B, EIF3G, EIF3I) (human)",0.007481552373416279,0.01904395149596871,996.4,1,EIF3G
UBR3wt (50),CORUM,"TRIKA2 protein kinase complex (TAK1, TAB1, TAB2) (human)",0.007481552373416279,0.01904395149596871,996.4,1,TAB2
UBR3wt (50),CORUM,BLM-TRF2 complex (human),0.007481552373416279,0.01904395149596871,996.4,1,BLM
UBR3wt (50),CORUM,p50-p65 NF(kappa)B-SRC1 complex (human),0.007481552373416279,0.01904395149596871,996.4,1,NCOA1
UBR3wt (50),CORUM,CS-MAP3K7IP1-MAP3K7IP2 complex (human),0.007481552373416279,0.01904395149596871,996.4,1,TAB2
UBR3wt (50),CORUM,NR3C2-UBC9-SRC-1 complex (human),0.007481552373416279,0.01904395149596871,996.4,1,NCOA1
UBR3wt (50),CORUM,BLM-RAD51L3-XRCC2 complex (human),0.007481552373416279,0.01904395149596871,996.4,1,BLM
UBR3wt (50),CORUM,"EIF3 core complex (EIF3A, EIF3B, EIF3G, EIF3I) (human)",0.009963204403296228,0.02066442394757736,625.4,1,EIF3G
UBR3wt (50),CORUM,hNURF complex (human),0.009963204403296228,0.02066442394757736,625.4,1,SMARCA1
UBR3wt (50),CORUM,Sam68-p85 P13K-IRS-1-IR signaling complex (human),0.009963204403296228,0.02066442394757736,625.4,1,KHDRBS1
UBR3wt (50),CORUM,HuCHRAC complex (human),0.009963204403296228,0.02066442394757736,625.4,1,SMARCA5
UBR3wt (50),CORUM,BLM complex III (human),0.009963204403296228,0.02066442394757736,625.4,1,BLM
UBR3wt (50),CORUM,Decapping complex (human),0.012438777192772534,0.021108227963492786,446.4,1,DCP1A
UBR3wt (50),CORUM,"Ubiquitin ligase complex (TRAF6, TAB2, MALT1, UEV1A, BCL10) (human)",0.012438777192772534,0.021108227963492786,446.4,1,TAB2
UBR3wt (50),CORUM,"EIF3 complex (EIF3A, EIF3B, EIF3G, EIF3I, EIF3C) (human)",0.012438777192772534,0.021108227963492786,446.4,1,EIF3G
UBR3wt (50),CORUM,"EIF3 complex (EIF3A, EIF3B, EIF3G, EIF3I, EIF3J) (human)",0.012438777192772534,0.021108227963492786,446.4,1,EIF3G
UBR3wt (50),CORUM,RPA-MSH4-BLM complex (mouse),0.012438777192772534,0.021108227963492786,446.4,1,BLM
UBR3wt (50),CORUM,MSH2/6-BLM-p53-RAD51 complex (human),0.012438777192772534,0.021108227963492786,446.4,1,BLM
UBR3wt (50),CORUM,TLE-Histone H3 complex (human),0.014908284799373634,0.023190665243470097,342.4,1,TLE4
UBR3wt (50),CORUM,BLM complex II (human),0.014908284799373634,0.023190665243470097,342.4,1,BLM
UBR3wt (50),CORUM,PTIP-DNA damage response complex (human),0.014908284799373634,0.023190665243470097,342.4,1,BLM
UBR3wt (50),CORUM,SRC-3 complex (human),0.017371741450283952,0.02494403900553593,274.9,1,NCOA2
UBR3wt (50),CORUM,NK-3-Groucho complex (human),0.017371741450283952,0.02494403900553593,274.9,1,TLE4
UBR3wt (50),CORUM,DNMT3B complex (human),0.017371741450283952,0.02494403900553593,274.9,1,SMARCA5
UBR3wt (50),CORUM,TNF-alpha/NF-kappa B signaling complex 7 (human),0.01982916145118511,0.027760826031659153,228.0,1,TAB2
UBR3wt (50),CORUM,Emerin regulatory complex (human),0.022280559123686802,0.030431983193328318,193.5,1,BANF1
UBR3wt (50),CORUM,NK-3-Groucho-HIPK2-SIN3A-RbpA48-HDAC1 complex (human),0.027165344857992397,0.035378123535990104,146.7,1,TLE4
UBR3wt (50),CORUM,FA complex (Fanconi anemia complex) (human),0.027165344857992397,0.035378123535990104,146.7,1,BLM
UBR3wt (50),CORUM,BASC complex (BRCA1-associated genome surveillance complex) (human),0.029598761568907096,0.03660138657001489,130.2,1,BLM
UBR3wt (50),CORUM,"eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1) (human)",0.03202621324876303,0.03660138657001489,116.7,1,EIF3G
UBR3wt (50),CORUM,"Polycomb repressive complex 1 (PRC1, hPRC-H) (human)",0.03202621324876303,0.03660138657001489,116.7,1,SMARCA5
UBR3wt (50),CORUM,RC complex during S-phase of cell cycle (human),0.03202621324876303,0.03660138657001489,116.7,1,POLE
UBR3wt (50),CORUM,RC complex during G2/M-phase of cell cycle (human),0.03202621324876303,0.03660138657001489,116.7,1,POLE
UBR3wt (50),CORUM,BRAFT complex (human),0.03202621324876303,0.03660138657001489,116.7,1,BLM
UBR3wt (50),CORUM,SNF2h-cohesin-NuRD complex (human),0.039272920734465235,0.04312320708098144,87.8,1,SMARCA5
UBR3wt (50),CORUM,Emerin complex 25 (human),0.039272920734465235,0.04312320708098144,87.8,1,BANF1
UBR3wt (50),CORUM,DNA synthesome complex (17 subunits) (human),0.04407449493169267,0.04746484069566903,74.7,1,POLE
UBR3wt (50),CORUM,ALL-1 supercomplex (human),0.0677318256109869,0.07156570253236351,40.5,1,SMARCA5
UBR3wt (50),CORUM,CEN complex (human),0.08853222789026767,0.09181119929361091,27.4,1,SMARCA5
UBR3wt (50),GO_Biological_Process_2023,Chromatin Organization (GO:0006325),3.0891695931121655e-07,0.0001380858808121138,216.2,8,H2BC13;CHD7;SMARCA5;H3C1;TET1;BANF1;SMARCA1;MACROH2A1
UBR3wt (50),GO_Biological_Process_2023,Nucleosome Assembly (GO:0006334),9.96677383351584e-06,0.0021176286830442226,398.6,4,H2BC13;SMARCA5;H3C1;MACROH2A1
UBR3wt (50),GO_Biological_Process_2023,protein-DNA Complex Assembly (GO:0065004),1.4212273040565254e-05,0.0021176286830442226,351.1,4,H2BC13;SMARCA5;H3C1;MACROH2A1
UBR3wt (50),GO_Biological_Process_2023,Chromatin Remodeling (GO:0006338),2.14770538920808e-05,0.0024000607724400298,130.2,6,CHD7;SMARCA5;H3C1;TET1;SMARCA1;MACROH2A1
UBR3wt (50),GO_Biological_Process_2023,Nucleosome Organization (GO:0034728),3.685550808876545e-05,0.0032948824231356314,248.5,4,H2BC13;SMARCA5;H3C1;MACROH2A1
UBR3wt (50),GO_Biological_Process_2023,Regulation Of Cellular Response To Insulin Stimulus (GO:1900076),9.128927051395767e-05,0.006801050653289846,1932.6,2,NCOA1;NCOA2
UBR3wt (50),GO_Biological_Process_2023,Peroxisome Proliferator Activated Receptor Signaling Pathway (GO:0035357),0.00012760097078443218,0.007129704242580148,1490.3,2,NCOA1;NCOA2
UBR3wt (50),GO_Biological_Process_2023,Positive Regulation Of Adipose Tissue Development (GO:1904179),0.00012760097078443218,0.007129704242580148,1490.3,2,NCOA1;NCOA2
UBR3wt (50),GO_Biological_Process_2023,Positive Regulation Of mRNA Catabolic Process (GO:0061014),0.00019374001249454245,0.009622420620562275,258.7,3,TNRC6C;GIGYF2;TNRC6B
UBR3wt (50),GO_Biological_Process_2023,Negative Regulation Of Transcription By RNA Polymerase I (GO:0016479),0.00021804660985203623,0.00974668346038602,1000.8,2,SMARCA5;MACROH2A1
UBR3wt (50),GO_Biological_Process_2023,Regulation Of Adipose Tissue Development (GO:1904177),0.000332063883264561,0.013493868710841706,739.5,2,NCOA1;NCOA2
UBR3wt (50),GO_Biological_Process_2023,Positive Regulation Of Nuclear-Transcribed mRNA poly(A) Tail Shortening (GO:0060213),0.00039784050239185316,0.01481955871409653,650.5,2,TNRC6C;TNRC6B
UBR3wt (50),GO_Biological_Process_2023,Cranial Nerve Development (GO:0021545),0.00046942457388711873,0.0152758847391841,578.8,2,CHD7;ISL1
UBR3wt (50),GO_Biological_Process_2023,"Positive Regulation Of Nuclear-Transcribed mRNA Catabolic Process, Deadenylation-Dependent Decay (GO:1900153)",0.0005467878206419364,0.0152758847391841,520.0,2,TNRC6C;TNRC6B
UBR3wt (50),GO_Biological_Process_2023,Regulation Of Nuclear-Transcribed mRNA poly(A) Tail Shortening (GO:0060211),0.0005467878206419364,0.0152758847391841,520.0,2,TNRC6C;TNRC6B
UBR3wt (50),GO_Biological_Process_2023,miRNA-mediated Gene Silencing By Inhibition Of Translation (GO:0035278),0.0005467878206419364,0.0152758847391841,520.0,2,TNRC6C;TNRC6B
UBR3wt (50),GO_Biological_Process_2023,Embryo Development Ending In Birth Or Egg Hatching (GO:0009792),0.0008132713373134499,0.021384252222300712,394.0,2,CHD7;UBR3
UBR3wt (50),GO_Biological_Process_2023,Regulation Of Nucleic Acid-Templated Transcription (GO:1903506),0.0008827094601804208,0.021490595594220063,41.9,6,NCOA2;GCFC2;PSPC1;CHD7;SMARCA5;SMARCA1
UBR3wt (50),GO_Biological_Process_2023,ncRNA-mediated Post-Transcriptional Gene Silencing (GO:0035194),0.0009134705062420161,0.021490595594220063,363.3,2,TNRC6C;TNRC6B
UBR3wt (50),GO_Biological_Process_2023,"Regulation Of Nuclear-Transcribed mRNA Catabolic Process, Deadenylation-Dependent Decay (GO:1900151)",0.0014985033958486917,0.03349155089721826,257.2,2,TNRC6C;TNRC6B
UBR3wt (50),GO_Biological_Process_2023,Regulation Of Gene Expression (GO:0010468),0.001716426336742492,0.0365353605963759,23.5,9,NCOA2;GCFC2;PSPC1;CHD7;SMARCA5;H3C1;UBAP2;SMARCA1;MACROH2A1
UBR3wt (50),GO_Biological_Process_2023,miRNA-mediated Gene Silencing (GO:0035195),0.0019157650058532817,0.03892486170983713,216.5,2,TNRC6C;TNRC6B
UBR3wt (50),GO_Biological_Process_2023,Negative Regulation Of Translation (GO:0017148),0.0024307608837506214,0.04724130934941425,73.3,3,TNRC6C;GIGYF2;TNRC6B
UBR3wt (50),GO_Biological_Process_2023,Positive Regulation Of Developmental Process (GO:0051094),0.002716974347616553,0.050603647224358304,44.2,4,NCOA1;NCOA2;TET1;ISL1
UBR3wt (50),GO_Biological_Process_2023,Negative Regulation Of DNA-templated Transcription (GO:0045892),0.003655691626328436,0.06536376627875243,19.9,8,KHDRBS1;GCFC2;PSPC1;SMARCA5;TET1;ISL1;MACROH2A1;N4BP2L2
UBR3wt (50),GO_Biological_Process_2023,Negative Regulation Of Type I Interferon Production (GO:0032480),0.0040654672914765,0.06730606960333317,126.9,2,UFD1;BANF1
