Gene Symbol,WT_UT1_ratio,WT_UT2_ratio,WT_UT5h1_ratio,WT_UT5h2_ratio,WT_UT10h1_ratio,WT_UT10h2_ratio,WT_UT15h1_ratio,WT_UT15h2_ratio,frac_remaining_15h,decay_k_per_h,halflife_h
STXBP3,1.0005692503284567,0.9994307496715432,0.922348065041164,0.9607244157128192,0.9161052143747171,0.8563575209637474,0.8166173266988798,0.8360170809641181,0.826317203831499,0.012668628657754774,54.71367101250167
STXBP4,0.9981239586155009,1.0018760413844991,0.9090472658510946,0.8627699735915987,0.7704798122806806,0.7679108288988563,0.6607683536331774,0.6658183007827367,0.6632933272079571,0.027451188214961855,25.250170416381316
STXBP5,1.029868953635938,0.9701310463640622,0.9648089379983893,0.9763859611509379,1.0318774191298874,0.9089989730468024,1.0010211571447687,1.003280901219605,1.002151029182187,-0.00011257231791757458,inf
STXBP6,0.9653349964884396,1.0346650035115603,1.151898623468433,0.8332607167021363,0.9658625222577644,0.6578016950139708,0.9801540275884151,1.002363807469734,0.9912589175290746,0.004620348338615031,150.02054601963607
STYX,0.9957315132923522,1.0042684867076477,0.8615180160919291,0.7971145442264618,0.7369944602791426,0.7741341692859169,0.6947738295434798,0.7109622905254078,0.7028680600344438,0.02301228513954756,30.120745347829157
SUB1,0.9878191497804111,1.0121808502195888,0.9501570458432158,0.8825192052321422,0.8437443178632116,0.8733453017888179,0.8055107837572693,0.8166082009691056,0.8110594923631874,0.013854057991145583,50.03206865475445
SUCLA2,1.0149027774172434,0.9850972225827566,1.0240172062178259,1.0186599899419793,0.9537341550058336,0.9175871196894971,0.897046191498504,0.8683150653353813,0.8826806284169426,0.009244787886305682,74.97707779609581
SUCLG1,0.9970284316080729,1.0029715683919271,0.9962126927421534,0.9808718134617842,0.955665028011013,1.0371834733418142,0.9260874221465649,0.984142634135387,0.9551150281409759,0.0026401772896934,262.53811941562435
SUCLG2,0.9783835380528693,1.0216164619471308,0.9593734533866666,1.0217931600896593,0.9557358483386693,1.013329776961354,0.8739732509408563,1.0039066712412232,0.9389399610910398,0.004031334252386397,171.9398931382652
SUCO,0.9994478255022979,1.0005521744977022,0.6535905235492857,0.7008076955221885,0.5288845823845822,0.6034237173269842,0.43896041731689583,0.3767641837774403,0.4078623005471681,0.05759769281123165,12.034287255769737
SUDS3,0.9787873337972004,1.0212126662027998,0.8701740269748117,0.8497142268029214,0.7806868507670736,0.7323071903604359,0.6864525633177578,0.7302149451489003,0.708333754233329,0.023277723761645733,29.777274945672776
SUFU,1.0124107648817957,0.9875892351182043,0.6568508512154414,0.6800415634927867,0.6429837477963393,0.6110540834404083,0.5890194593460788,0.6333298937047082,0.6111746765253935,0.03086023534529052,22.460852057815696
SUGCT,1.0926339197004782,0.9073660802995218,0.6921562965953132,0.6530761069459817,0.7022321757841129,0.5990720203461551,0.4558359480206384,0.48415722652022847,0.4699965872704335,0.0457890896094567,15.137824020348976
SUGP1,1.011982853220228,0.988017146779772,0.95115817917915,0.8814980423972922,0.8135769529344911,0.8048720150305938,0.7565125345221427,0.7634839457906634,0.759998240156403,0.018934466429419563,36.60769545018511
SUGP2,0.9686330101204217,1.0313669898795783,0.9519457546563839,0.8444501842770462,0.8494864691425691,0.8210251021184022,0.7871182847955778,0.7664224879378707,0.7767703863667242,0.016552503466022377,41.87567046778036
SUGT1,1.0049651087406626,0.9950348912593376,1.0047365517890723,0.9451357777140279,0.9023482173429535,0.9116673846871667,0.898594771018385,0.9336503067390319,0.9161225388787084,0.006701888269827859,103.42565448017369
SULF2,1.0049209718542897,0.9950790281457104,0.43795735460100893,0.3342920371923418,0.21934720874604366,0.20599654523193117,0.16936022278698995,0.16066996073989187,0.16501509176344092,0.11987939430304188,5.782037727082152
SULT1A1,1.0023822127485662,0.9976177872514338,0.8191442471289284,0.7840575831308316,0.7486472607211355,0.8021204618192218,0.6395347536110648,0.6486006775831593,0.6440677155971121,0.027070559756203264,25.60520309895363
SULT2A1,1.0220929643275205,0.9779070356724794,0.8895911129468342,1.168324449165826,1.098975595905819,0.9150100028364997,0.8624265232838721,1.0383664660988898,0.950396494691381,0.0036262409415431813,191.14758002400413
SUMF2,0.9833948304214263,1.0166051695785736,0.9904243155188133,0.7950021478395047,0.9425829469888609,0.9754598945972898,0.9008928298113162,0.7672319048770678,0.834062367344192,0.009521234239933606,72.80013946645417
SUMO1,1.009325036878397,0.9906749631216029,0.9119920100630386,0.8069181581675948,0.8328764260002965,0.8701412019392655,0.8574834019764069,0.7763103110941435,0.8168968565352752,0.012359210436729136,56.0834516175927
SUMO2,0.966275475057506,1.033724524942494,1.0209053207974255,0.9361609982427671,0.869347325970314,0.9434136180814983,0.9250841174949742,0.9077874235630508,0.9164357705290125,0.006734179936541754,102.92970890170506
SUMO3,1.0054135773872739,0.9945864226127261,1.0707655391264632,1.0374891232208798,0.9151127992481539,0.9857841890264804,0.9186705754917153,0.9577389769322411,0.9382047762119782,0.005921382407848514,117.05833753300772
SUN1,1.0120543102353408,0.9879456897646592,0.860921524042447,0.8376822204479704,0.7007504803744757,0.6879303486188754,0.6139101606543566,0.594205827914271,0.6040579942843138,0.03427675313156047,20.222078150153813
SUN2,1.0193181049319067,0.9806818950680933,0.8322537421566755,0.7646350218066489,0.6798630652640761,0.682098828475234,0.6051577343979574,0.5976072315129906,0.6013824829554739,0.033666133039682994,20.588856455326123
SUOX,0.9887736365037465,1.0112263634962535,1.01723020981292,0.9498464655227349,1.0916830364528125,1.0038534241504626,1.0910163557020085,1.1835220188443627,1.1372691872731857,-0.008931295399789492,inf
SUPT16H,0.9971007413792816,1.0028992586207184,0.97343853441388,0.9824127988705448,0.9157890726578405,0.9057707336021328,0.8521954989503376,0.880575431112808,0.8663854650315728,0.010036057810765062,69.06568232562879
SUPT20H,0.9725890170908893,1.0274109829091107,0.6866243819326492,0.6683087738593902,0.5891703921311835,0.5357424485364702,0.44875189852028646,0.4900407910429283,0.4693963447816074,0.04915569048337399,14.101056739186475
SUPT3H,1.0148771959045542,0.9851228040954461,0.8870496213590767,0.859064901954631,0.9349211937659668,0.9025152100924609,0.9756413390240137,0.8965451496673124,0.9360932443456631,0.002990341443234128,231.79532963643427
SUPT4H1,0.9836358370503091,1.0163641629496907,0.7412039188315981,0.6456023987133876,0.5836291090955661,0.5520221827004336,0.6062079197815231,0.539201869849673,0.572704894815598,0.03749394727599976,18.486908712426647
SUPT5H,1.0059142737154014,0.9940857262845985,0.9858172678078544,0.9167625351868697,0.8932106919714365,0.8770166652786,0.8309784551687299,0.8754329735527016,0.8532057143607157,0.010974303650367244,63.16092598155417
SUPT6H,0.9768886310977579,1.0231113689022422,0.9739988422443523,0.9409727822012052,0.9177738044308646,0.903075243021496,0.7416632694465111,0.7983650391969538,0.7700141543217325,0.01671112551504629,41.47818648934523
SUPT7L,1.0070764291691534,0.9929235708308467,0.9291044849010184,0.8000063048547938,0.7399349559311659,0.6518819589562221,0.7474356246991545,0.7941136415942182,0.7707746331466863,0.019971721965585887,34.706430509814645
SUPV3L1,0.9925741098712099,1.0074258901287902,0.9794114736654507,0.9852933305542847,0.9452733534915608,0.9256732813591191,0.8891858054396725,0.888230887842259,0.8887083466409658,0.008056481831582453,86.03596396664342
SURF1,1.01048947626018,0.9895105237398202,0.8948648832681505,0.8809191029446409,0.794823534344935,0.7934369842598966,0.7906201722367652,0.7139519873957817,0.7522860798162734,0.019384457184109572,35.75788447293502
SURF2,0.9476908341342187,1.052309165865781,0.788515898086997,0.9608249269921861,0.8814617987746667,0.8468142820995487,0.961608317578698,0.921872391388793,0.9417403544837455,0.003681513200300258,188.27779308340206
SURF4,1.0273615290250904,0.9726384709749096,1.035352668827952,0.9400234287326065,0.9350600927354038,0.9139506722408444,1.0008540274938005,0.9934792160642169,0.9971666217790087,0.001448334125606108,478.58237150206804
SURF6,0.9830046371295685,1.0169953628704316,1.0753213282396126,1.0702755362601484,1.06560744803712,1.1928179986793257,1.448917623938535,1.258476471213961,1.353697047576248,-0.019023505364691135,inf
SUV39H1,0.9862630734770801,1.01373692652292,0.8455972665021505,0.9159915930822592,0.9016279915732602,0.9389472439081892,1.1451423450140452,1.0610327588030433,1.1030875519085441,-0.006737921251980407,inf
SUV39H2,1.0862893836712313,0.9137106163287686,0.9971047043002786,0.7830900462978007,0.9623837028553536,0.8947180017683162,1.024824863184046,0.9130208226911237,0.9689228429375849,0.0007918508471218983,875.3506838810536
SUZ12,0.9880234201501015,1.0119765798498985,0.9431096689380112,0.9048284390677925,0.8909940224110084,0.8822994332708365,0.9348921714053986,0.8718659334491421,0.9033790524272703,0.006949594546246328,99.7392259285592
SV2A,0.9905562221023494,1.0094437778976508,0.8231709431523319,0.7374935597601702,0.6789737566289622,0.7256276182458639,0.564376825720595,0.600430752687856,0.5824037892042255,0.03454957478092396,20.06239396447381
SVBP,1.0768214798416917,0.9231785201583081,0.8634338186681472,0.8626341292755316,0.7810116408332484,1.028664176791789,0.7854314430900368,0.6727832561434114,0.7291073496167241,0.018201069358347772,38.08277233128827
SVIL,0.9766689533817627,1.0233310466182373,0.9033787576843605,0.8944854832038045,0.8534946573949256,0.8540378447993877,0.846953213714182,0.8581933671210099,0.852573290417596,0.010585493114571014,65.4808588563364
SVIP,1.0742970214283172,0.9257029785716828,0.8775553875001906,1.0524676271629743,1.180444442851256,1.3480142390197212,1.9349240593670078,1.8007662650337035,1.8678451622003558,-0.043054483559904454,inf
SWAP70,1.0233788764102825,0.9766211235897178,0.9344525514315531,0.9437261782070094,0.9282331992655247,0.8815599420789142,0.9118998397538054,0.892291631665955,0.9020957357098802,0.006917428877557267,100.20300791364471
SWI5,1.036710349713328,0.9632896502866718,0.8205415849961062,0.8980523248387821,1.04937763836944,0.951464145915126,0.9726106104762198,1.065737812399474,1.0191742114378468,-0.004154949035558428,inf
SYAP1,0.998938155813551,1.0010618441864487,1.1231268668855117,1.1118379231725455,1.0616641592016087,1.0928243918691571,1.1391355496535258,1.1806006774910007,1.1598681135722633,-0.008153546057206477,inf
SYDE1,1.0592608311123632,0.9407391688876365,0.9860436793224278,0.9783367826842603,1.040593638932044,0.8017621938722088,0.807491123711588,0.8476170818732902,0.8275541027924391,0.012720904051121501,54.48883017860952
SYDE2,1.0165369922428167,0.9834630077571833,0.9369774369532301,0.773181967121115,0.8143332805340472,0.7195803244681123,0.8632097682623436,0.649810595007049,0.7565101816346963,0.019458309196956212,35.62216909721897
SYF2,1.025353320388133,0.974646679611867,0.6130324013546717,0.6247135077990784,0.5227678424522982,0.5171108039542041,0.49151811640785514,0.4799627670278992,0.48574044171787717,0.04679296996202922,14.813062328003733
SYK,0.9878674155763991,1.012132584423601,0.9674006603815545,0.8875080769961862,0.8790643673424099,0.8749984731410075,0.9394927913768213,0.8698188898018958,0.9046558405893586,0.007151646534545699,96.92134212893909
SYMPK,1.000638863327642,0.999361136672358,0.9345817856501141,0.9323617220241516,0.9018916173078922,0.8774104469065567,0.8879432598617918,0.9046276913052349,0.8962854755835133,0.007535872558868478,91.97968452163187
SYNCRIP,1.0020913001533371,0.9979086998466628,1.01253169633285,1.0081093061116946,0.9594837186054117,1.03699627597271,0.9918409719380349,0.9793434360348634,0.9855922039864491,0.0011274507098265815,614.7915598603521
SYNE1,1.0028375634174678,0.9971624365825323,0.8779127543864632,0.7822649493426057,0.7338529666037893,0.7702935686096317,0.7631773639424861,0.7211091227689553,0.7421432433557207,0.019863250350361048,34.89595954004306
SYNE2,1.0083560926837118,0.9916439073162884,0.9293328868291083,0.8963031853907941,0.8258003286565753,0.8469751996932605,0.7708131262686855,0.8117235327069512,0.7912683294878183,0.01581226190196631,43.83605488306198
SYNE3,0.9925493194182663,1.0074506805817338,0.8735531845025731,0.8488989203487065,0.861679095946689,0.8879017255501003,0.7081386346470154,0.7173637781332198,0.7127512063901176,0.020004613987776025,34.64936544056778
SYNGAP1,1.0556173340134953,0.9443826659865047,0.9980524583961857,0.9578969074794645,0.7384902557210881,0.7930757552383895,0.7054183027470302,0.7346484264717684,0.7200333646093993,0.024527077196549837,28.26048839840764
SYNGR2,0.9621938470227964,1.0378061529772038,1.024505266954087,0.9736124410611035,0.932469117595964,0.8804060311279016,0.8287008839942323,0.9272105061978191,0.8779556950960257,0.009808801935539558,70.66583514634063
SYNJ1,0.9883832890218865,1.0116167109781133,0.9591061022162141,0.8608928976060911,0.7851199256449967,0.7539420667924219,0.7537612656645883,0.7775915854338583,0.7656764255492233,0.01935115227357981,35.81942670702361
SYNJ2,0.9587505546151277,1.0412494453848722,0.9281343027237937,0.8947435581750572,0.8246331630972561,0.8249056561413709,0.8686551732221041,0.8907698950521249,0.8797125341371145,0.009638315792396907,71.91579893104642
SYNJ2BP,1.0028967774014927,0.9971032225985073,1.0113732067488144,0.9107608841492093,0.8831457687698402,0.980883601681571,0.983426125046454,1.0050070879945425,0.9942166065204983,0.0009652993151462283,718.0645108558311
SYNRG,0.976642875667959,1.023357124332041,0.73440345513726,0.758746728446804,0.6456116984578321,0.7056617676461827,0.6216270611583723,0.6314878887005108,0.6265574749294416,0.03005029571672834,23.066234924739373
SYP,1.005628907112863,0.9943710928871368,1.0447988560532497,1.0741353006623793,1.1129195532732834,1.0437390904007946,1.0833093310143698,1.0080128294520478,1.045661080233209,-0.0029855538546630623,inf
SYPL1,1.0218566788859362,0.9781433211140639,0.9499713246490642,0.9655493383239285,0.9982874179063723,0.9090136447934163,1.116318226794743,1.0485566056820583,1.0824374162384007,-0.004630574077121443,inf
SYT1,1.0344893362085246,0.9655106637914753,0.6884962149132923,0.7328226297057391,0.49929240489344817,0.5245491936252417,0.4356983348535594,0.46701148647152085,0.45135491066254013,0.054287315056430814,12.768124189590692
