gene,Yi_remaining_15h,Yi_decay_k,Li_HEK293T_t_half_h,is_WT_best_hit
KLHL12,0.5665999068065364,0.0375018044531974,3.8,False
KLHL13,0.502217214357692,0.0465920680281172,6.27,False
KLHL17,0.3863757465595367,0.0612499047559339,11.92,False
KLHL20,0.493040999839104,0.0452602720605873,11.96,False
KLHL22,0.7938375151498077,0.0142839125521929,17.17,False
KLHL24,0.3248941947720767,0.073969430954842,5.04,False
KLHL42,0.6598796544817838,0.0282269160133392,31.12,False
KLHL7,0.6456030707178463,0.0268055097732397,25.71,False
KLHL8,0.2973451355051922,0.0784396174580562,4.05,False
KLHL9,0.4703304268322077,0.0470841096311816,4.89,False
KMT2C,0.6661017391968974,0.0278953840685311,28.62,False
KMT2E,0.4929966778711016,0.0491367324794451,9.7,False
KMT5A,0.159189226317744,0.1204467401296854,1.33,False
KNL1,0.5458515473142007,0.0393542029085643,16.3,False
KNSTRN,0.4366892727717328,0.0528951178771829,11.68,False
KPNA2,0.6491835259214542,0.0286769993980635,15.16,False
KRBA1,0.7137953523015421,0.0243637691418751,15.56,False
L3MBTL2,0.3515156333294063,0.0652321611149955,15.05,False
L3MBTL3,0.4278577296272726,0.0540993035374125,20.77,False
LAMTOR4,1.280688082282425,-0.0175175136671482,21.33,False
LARP4,0.6987012973502906,0.0237867917762088,11.73,False
LCA5,0.5186511174990709,0.0454713179691604,10.66,False
LEF1,0.2484271979048982,0.091478056281939,5.76,False
LIN54,0.5362906511274561,0.0417983210960915,17.77,False
LIN9,0.4136710199742951,0.0581331765607749,16.58,False
LIX1L,0.2179965124347825,0.0992755822011346,10.81,False
LNX2,0.2480910604674301,0.0900941422562975,9.16,False
LONP2,0.1349472715057285,0.1363770110142564,2.92,False
LONRF2,0.6905352184180094,0.0199680061647173,8.45,False
LPIN1,0.3441515717059263,0.0710268401219719,13.49,False
LRCH2,0.6038400434225548,0.0337535664349875,31.37,False
LRIF1,0.5251048693300282,0.0423511061794,11.54,False
LRPAP1,0.2945462630707381,0.079920249071538,14.2,False
LRR1,0.3437584341640045,0.0706168634171259,6.01,False
LRRC28,0.4536044596849504,0.04556978555255,10.45,False
LRRC41,0.7540768355443128,0.0175553142851697,7.45,False
LRRC42,0.3315859500775012,0.0675663508528167,6.71,False
LRRC45,0.4085760188843525,0.0598249408729969,4.54,False
LTO1,0.8086690562561698,0.0134558207380606,25.09,False
LZTS2,0.5646943520958452,0.0367446411857541,13.21,False
MAD2L1,1.236255053267292,-0.0140143003037397,28.13,False
MAD2L1BP,0.31891722321789,0.075406778638821,20.78,False
MAFG,0.2593261661112424,0.0900664204110303,15.01,False
MAGED1,0.2301857795317118,0.0918414985587151,2.55,False
MAGED2,0.452524906194487,0.0523189080326905,13.08,False
MAGED4,0.1013599816349993,0.1513954617454223,5.33,False
MAML1,0.3471755210132644,0.0732680366408552,10.61,False
MAP3K1,0.2806919097577371,0.0840331169203485,12.27,False
MAP3K2,0.7775690489249726,0.0174171698451306,33.8,False
MAST2,0.6040157080382491,0.0348951181920074,24.67,False
MB21D2,0.7768033845480325,0.0173415785619178,25.98,False
MBD3,1.0043294677030912,0.0003879277248911,33.59,False
MBIP,0.8746466340550931,0.0071960387352024,17.26,False
MCC,0.4120043031046259,0.0574133516773992,12.13,False
MCL1,0.3327002528858875,0.0701566244694876,2.32,False
MCM10,0.118050326203856,0.1400847699070803,2.67,False
MCM8,0.4899884817421972,0.044408511078229,10.42,False
MCM9,0.7431016873829005,0.0171456861781448,26.56,False
MCRS1,0.5934485487331614,0.0338572272610858,14.36,False
MDM1,0.4391182271579883,0.0535305194519254,11.08,False
MED10,0.7441382164622264,0.0173574273009031,20.94,False
MED15,0.6070278663906647,0.0305921866526543,13.76,False
MED17,0.874264858505462,0.0075266580607957,19.99,False
MED29,0.5358388017142633,0.0407479360887897,13.86,False
MED4,0.469133392094802,0.048403615262988,21.06,False
MEF2D,0.7049553354815605,0.0219868314278501,30.92,False
MEX3C,0.5856217884729764,0.0397170976953267,14.01,False
MGA,0.6690562296167056,0.0262791257630819,18.16,False
MGRN1,0.540345543644958,0.0427177055093449,11.33,False
MIB1,0.3541356464689847,0.0698777006272457,12.9,False
MIB2,0.5473079666645959,0.0438496585420523,18.49,False
MID1IP1,0.3258849883031747,0.0748048212863431,3.68,False
MIER3,0.3506445530618391,0.0691017082927677,13.11,False
MIS18A,0.538020635606547,0.0413901177755715,9.51,False
MKNK1,0.6152384487527878,0.0322284550002363,15.61,False
MKS1,0.3110745266987559,0.0796217856582404,10.75,False
MLF2,0.1153825926421423,0.140869171086393,3.77,False
MLLT3,0.508336260269689,0.045624455491979,23.2,False
MMADHC,0.3976042110817134,0.0524918063019228,1.0,False
MNAT1,0.7472217733228218,0.0197649156977657,16.96,False
MND1,1.0585917422718634,-0.0051953547214403,17.55,False
MNT,0.3254454483013963,0.0738045369608703,16.69,False
MNX1,0.6492954981131881,0.0293129195876637,18.61,False
MORF4L1,0.149806900511934,0.1214553973391506,2.66,False
MORF4L2,0.215170485973791,0.0943354368044304,1.67,False
MPHOSPH9,0.5427905828517892,0.0399665467650784,19.97,False
MPLKIP,0.074950451598974,0.1617080253079224,0.79,False
MRFAP1,0.2230146990517436,0.0924994761328525,1.34,False
MRNIP,0.4566595193161542,0.0510182845022933,18.56,False
MRTFA,0.7263164053170743,0.0222041988773857,31.11,False
MSL3,0.5928832853414456,0.0341052411350825,20.91,False
MSX2,0.128129947129486,0.1366008626742643,1.2,False
MTA2,0.8845770582402284,0.0086375400804275,25.26,False
MTBP,0.4184437997489628,0.0586285812425545,17.04,False
MTFR1,0.5138799055606458,0.0447258934685855,14.23,False
MTFR1L,0.5214746339918773,0.0419776690616681,13.78,False
MTFR2,0.3142371165670571,0.0747300658917553,12.59,False
MTMR3,0.7949027217761386,0.0165094932853394,24.27,False
MTMR4,0.4139623062459511,0.0581844598782179,3.78,False
MTR,0.3879928114901963,0.0591828557274209,9.84,False
MTUS1,0.5422438586103295,0.0401548245985532,30.34,False
MYBL2,0.1404430831658402,0.132586790535413,11.32,False
MYC,0.2173628704730211,0.0990551979816126,2.47,False
MZT2B,0.2833110222427553,0.0836307251350599,12.84,False
N4BP3,0.7498377843198715,0.0172319315547966,11.53,False
NAB2,0.7554726374322487,0.0194716464598188,25.19,False
NABP2,0.5729092705063161,0.0371604929951743,24.66,False
NACA,0.5463077379603751,0.0398717728198446,29.56,False
NACC2,0.7173047004506641,0.0179841840829573,13.54,False
NADK,0.779932559730274,0.0161137318502152,32.54,False
NAF1,0.6076476343263872,0.0304959536769524,30.6,False
NARF,0.5658930313334454,0.0339966161257124,17.99,False
NASP,0.9862028539495418,0.0022832067058948,8.39,False
NBR1,0.159942551018267,0.1194745716712814,3.31,False
NCKAP5L,0.5529023565355654,0.0394230938672178,11.78,False
NCOA3,0.674866136891116,0.0258021243281543,17.18,False
NCOA4,0.2332711554281548,0.0875901011345499,0.77,False
NCOR2,0.8071426301051104,0.0123823973773775,33.71,False
NDC80,0.5878862177180051,0.035068335980685,13.14,False
NDEL1,0.4197778601951807,0.056940054519715,10.24,False
NEIL3,0.7008393433886342,0.0175144469023286,4.04,False
NEK2,0.1768742186942603,0.1079164390717676,0.97,False
NEO1,0.0827285954516667,0.1604303112535763,10.59,False
NET1,0.2326410275763039,0.0935699482210088,2.4,False
NEU1,0.2531956501146097,0.0891529403265453,6.39,False
NEURL4,0.7661759906188135,0.0183822236649109,24.82,False
NFATC2IP,0.6536566025281907,0.0286900248504327,27.67,False
NFKBIL1,0.3853686447156711,0.063699225421259,17.05,False
NFRKB,0.3466225225073163,0.0688683945761579,9.65,False
NFYA,0.4527222289264987,0.0568576563423879,25.33,False
NIN,0.6035060332766764,0.0320032844538047,15.59,False
NKIRAS1,0.4596975845271902,0.0527635935244741,14.94,False
NKIRAS2,0.6410653349088173,0.030225557251141,22.03,False
NKX2-5,0.5413011533921576,0.0418531400591455,9.53,False
NOB1,0.7028007791990583,0.0228835666897639,26.26,False
NOL7,0.4040323559281812,0.0606139620532441,33.56,False
NOP53,0.5207600087226307,0.0465060817462811,29.31,False
NOSIP,0.6523877217557551,0.028248606593149,12.45,False
NPAT,0.3427058384624653,0.0713565074874474,10.4,False
NRBP1,0.7980017108126823,0.0158208960506225,31.9,False
NSD1,0.4921411039193919,0.0466936379626375,9.55,False
NSD2,0.6438307582167231,0.0288959787347301,19.57,False
NSMCE1,0.7167488617905566,0.020107321550729,32.65,False
NSMCE2,0.3990637927682555,0.0589855437316854,24.53,False
NUF2,0.5537332400272555,0.0380740689185238,17.71,False
